,Unnamed: 0,id,name,price,mrp,variant,image_url,tags
137,137,CAFFZB9AFZEHGRJZ, Quaker Oats with Flavour Mix, 39.0, 49.0, 200 g Pouch, https://rukminim1.flixcart.com/image/280/280/kn3i1zk0/cereal-flake/e/t/u/oats-with-flavour-mix-pouch-quaker-original-imagfuhbtvr39hks.jpeg,quaker oat with flavour mix 39.0 49.0 200 g pouch
138,138,RICEUHHMHUQXGKXZ, INDIA GATE Regular Choice Basmati Rice, 315.0, 400.0, 5 kg, https://rukminim1.flixcart.com/image/280/280/klscivk0/rice/r/m/p/white-regular-choice-basmati-rice-vacuum-pack-india-gate-original-imagytzcjrdgk3je.jpeg,india gate regular choic basmati rice 315.0 400.0 5 kg
140,140,CAFFGPZYUTAXYSMR, Kwality Crunchy Muesli Fruit N Nut, 280.0, 560.0, 1 kg Plastic Bottle, https://rukminim1.flixcart.com/image/280/280/jz4g3gw0/cereal-flake/s/m/r/1-muesli-fruit-n-nut-plastic-bottle-kwality-original-imafj7dp6fq4yvhe.jpeg,kwaliti crunchi muesli fruit n nut 280.0 560.0 1 kg plastic bottl
141,141,JASET5SFXTSG8VGY, Kissan Mixed Fruit Jam 200 g, 68.0, 68.0, 200 g, https://rukminim1.flixcart.com/image/280/280/j4sronk0/jam-spread/v/g/y/200-mixed-fruit-jam-glass-bottle-mixed-fruit-jam-kissan-original-imaeurhghwyr3duc.jpeg,kissan mix fruit jam 200 g 68.0 68.0 200 g
142,142,NDLEX3U5KVKG7DGH, Maggi Nutri-licious Atta Masala Instant Noodles Vegetarian, 86.0, 86.0, 290 g, https://rukminim1.flixcart.com/image/280/280/klwmufk0/noodle/j/0/v/nutri-licious-atta-masala-instant-noodles-maggi-original-imagyx65tftjmnrb.jpeg,maggi nutri-lici atta masala instant noodl vegetarian 86.0 86.0 290 g
143,143,MSCFUMWF3ZVWGRJK, Glow & Lovely Advanced Multivitamin Face Cream, 106.0, 106.0, 50 g, https://rukminim1.flixcart.com/image/280/280/kgfg2vk0/moisturizer-cream/r/j/k/50-advanced-multivitamin-face-cream-cream-glow-lovely-original-imafwz6xfqgy52za.jpeg,glow & love advanc multivitamin face cream 106.0 106.0 50 g
144,144,MDMETGN5HYJKSQQJ, Boost Health, Energy & Sports Nutrition Drink, 322.0, 351.0, 368.0,boost health energi & sport nutrit drink 322.0 351.0
145,145,CKBET6WUGDDY2NHZ, PARLE Monaco Salted Biscuits, 10.0, 10.0, 66.7 g, https://rukminim1.flixcart.com/image/280/280/khkvukw0/cookie-biscuit/n/h/z/66-7-monaco-salted-biscuits-parle-original-imafxk72zupj4vg2.jpeg,parl monaco salt biscuit 10.0 10.0 66.7 g
146,146,DAJFA6X4PHZBCA54, Maaza Mango, 60.0, 70.0, 1.2 L, https://rukminim1.flixcart.com/image/280/280/k4irzbk0/drinks-juice/a/5/4/1-2-mango-plastic-bottle-maaza-original-imafkh8tzsqywcjh.jpeg,maaza mango 60.0 70.0 1.2 l
148,148,CEPEUZ7FUBQD4WVT, BRITANNIA Fruity Fun Cake, 27.0, 30.0, 120 g, https://rukminim1.flixcart.com/image/280/280/k9a8tjk0/cake-pastry/w/v/t/120-na-cake-britannia-original-imafr44tuwf4when.jpeg,britannia fruiti fun cake 27.0 30.0 120 g
149,149,CKBETGRHVCNTB63K, UNIBIC Choco Ripple Cookies, 40.0, 40.0, 100 g, https://rukminim1.flixcart.com/image/280/280/kc0u7bk0/cookie-biscuit/6/3/k/100-choco-ripple-cookies-unibic-original-imaft8n8zgn6gmtg.jpeg,unib choco rippl cooki 40.0 40.0 100 g
150,150,FLRETEFHUERVXNJ7, Fortune Besan, 59.0, 60.0, 500 g, https://rukminim1.flixcart.com/image/280/280/k7usyvk0/flour/n/j/7/500-besan-besan-fortune-original-imafpzwhuxczbhpq.jpeg,fortun besan 59.0 60.0 500 g
151,151,MDMEUD8PWUYYRG6Q, Protinex Tasty Chocolate Flavour, 498.0, 560.0, 400 g, https://rukminim1.flixcart.com/image/280/280/kgzg8sw0/energy-sport-drink-mix/c/s/w/400-na-protinex-original-imafx3z336h9gehc.jpeg,protinex tasti chocol flavour 498.0 560.0 400 g
152,152,BCRET7W77DKKQRRJ, Harpic Bathroom Cleaner Liquid Lemon, 95.0, 95.0, 500 ml, https://rukminim1.flixcart.com/image/280/280/k8ndrww0/bathroom-floor-cleaner/r/r/j/lemon-500-bathroom-cleaner-harpic-original-imafqm7hksxg9g5t.jpeg,harpic bathroom cleaner liquid lemon 95.0 95.0 500 ml
153,153,AIREZ9Z5SBWNCDMH, Odonil Multi Fragrance Blocks, 133.0, 147.0, 3x50 g, https://rukminim1.flixcart.com/image/280/280/k47cgi80/air-freshener/d/m/h/150-air-freshener-bar-odonil-original-imafn5ttyaf54hbh.jpeg,odonil multi fragranc block 133.0 147.0 3x50 g
154,154,EDOET83CFQYH9JXK, Saffola Tasty Pro Fitness Conscious Blended Oil Pouch, 193.0, 193.0, 1 L, https://rukminim1.flixcart.com/image/280/280/k8ot7rk0/edible-oil/j/x/k/1-tasty-pro-fitness-conscious-pouch-blended-oil-saffola-original-imafqnh8f3ggrpuu.jpeg,saffola tasti pro fit consciou blend oil pouch 193.0 193.0 1 l
156,156,CKBETGRHQK92HYMR, UNIBIC Fruit & Nut Cookies, 22.0, 25.0, 75 g, https://rukminim1.flixcart.com/image/280/280/kf2v3ww0/cookie-biscuit/y/m/r/75-fruit-nut-cookies-unibic-original-imafvm24xruznumh.jpeg,unib fruit & nut cooki 22.0 25.0 75 g
157,157,CAFFB38EZ799A8XX, Kwality Corn Flakes, 50.0, 50.0, 100 g Box, https://rukminim1.flixcart.com/image/280/280/knyxqq80/cereal-flake/o/k/z/corn-flakes-box-kwality-original-imag2gz9ffjnf9pv.jpeg,kwaliti corn flake 50.0 50.0 100 g box
158,158,CKBFUG5UNEQ6ZNVG, Priyagold Italiano Cookies with Smoothness of Butter, 35.0, 35.0, 75 g, https://rukminim1.flixcart.com/image/280/280/kkzrpu80/cookie-biscuit/z/l/u/italiano-priyagold-original-imagy7ffhk7h6y5s.jpeg,priyagold italiano cooki with smooth of butter 35.0 35.0 75 g
159,159,WSPFUGAZJGQDJX9H, Flipkart Supermart Detergent Powder 4 kg, 288.0, 352.0, 4 kg, https://rukminim1.flixcart.com/image/280/280/kiqbma80-0/washing-powder/h/x/g/na-flipkart-supermart-original-imafygqxf2ygeyyh.jpeg,flipkart supermart deterg powder 4 kg 288.0 352.0 4 kg
